Données utilisables pour tester la carte
(données récupérées en ayant utilisé l'app).

[48.58015048281002, 6.028386921417232],
[48.576908540774426, 6.040154415793513],
[48.57783950841151, 6.059274426667466],
[48.57783950841151, 6.059274426667466],
[48.5771365185971, 6.07699491664763],
[48.57709231308741, 6.088092534775116],
[48.57840891182726, 6.094966477814794],
[48.57937085372352, 6.098294512677412],
[48.585587306345, 6.109169617161181],
[48.59720347696219, 6.113367819014868],
[48.59963163128732, 6.115960130979183],
[48.60161356171192, 6.118925545340638],
[48.60367318228326, 6.126634692529627],
[48.598717672022005, 6.135948288344327],
[48.59987011514836, 6.144287908693597],
[48.60348178167168, 6.152524526717411],
[48.60466184622568, 6.159096100074464],
[48.60849302199759, 6.168526398588525],
[48.61065090803049, 6.17662365956026],
[48.61396679420644, 6.178296914220066],
[48.62023051027402, 6.181791709059625],
[48.62691839944435, 6.183667499819128],
[48.63451298821718, 6.182609018091283],
[48.64112509219178, 6.1813260516761215],
[48.6473952994187, 6.181019107664286],
[48.654482855140856, 6.183542660692162],
[48.66077138038973, 6.187717918282227],
[48.66666678339612, 6.190726665849709],
[48.672815262939054, 6.19397140960771],
[48.67537830433303, 6.1989700082541805],
[48.67866623627665, 6.205412051140705],
[48.679396909063975, 6.198871598828648],
[48.679396909063975, 6.198871598828648],
[48.68335073352735, 6.196622669500606],
[48.68335073352735, 6.196622669500606]
